Hub_Name,1. Late night[00-05],2. Early Morning [06-08],3. Morning [09-11],4. Lunch [12-14],5. Early evening[15-17],6. Evening [18-20],7. Night [21-23]
Che_115_Madhavaram,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_143_Royapettah,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_124_Korattur,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_123_Avadi,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
NIT 5,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Wazirabad,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
BadkhalRoad,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Rampura,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Gur_124_Sec 86 Nawada,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Pitampura NSP,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Paschim Vihar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Dnc_114_Bhiwadi Khanpur,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Razapur Khurd,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Far_105_Sec 31 Faridabad,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Noida_38_D,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
sec-37 Faridabad,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
GGNSector 45,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Gurgaon_105_Sector 53,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
GGN Sector 62,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
GGN Udyog Vihar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
GGN Sector 64,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Burari sant nagar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
South Patel Nagar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Site_059_D_YamunaVihar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Haiderpur,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Gur_102_DLFPhase2 & Phase 3 Chakkarpur,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
GT Karnal Road,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Site_011_D_RajNagarExtension,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Site_046_D_Vaishali,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
"Ghz_106_Siddharth Vihar, Ghaziabad",₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
